Date,Time,Open,High,Low,Close,Volume
12/16/2024,9:45 AM,2.97,2.9997,2.8,2.922,179265
12/16/2024,10:00 AM,2.9067,2.9687,2.8166,2.9212,65711
12/16/2024,10:15 AM,2.9306,3.045,2.9126,2.966,61636
12/16/2024,10:30 AM,2.9676,3.09,2.9676,3.0899,43169
12/16/2024,10:45 AM,3.08,3.1,3.04,3.065,61219
12/16/2024,11:00 AM,3.065,3.09,2.95,3.044,100828
12/16/2024,11:15 AM,3.03,3.1696,2.98,3.1696,232836
12/16/2024,11:30 AM,3.16,3.24,3.09,3.2,176815
12/16/2024,11:45 AM,3.24,3.3,3.16,3.16,117868
12/16/2024,12:00 PM,3.17,3.2,3.07,3.1965,274853
12/16/2024,12:15 PM,3.1865,3.1865,3.03,3.18,60918
12/16/2024,12:30 PM,3.18,3.2848,3.14,3.1701,80852
12/16/2024,12:45 PM,3.17,3.3,3.17,3.1809,62416
12/16/2024,1:00 PM,3.22,3.27,3.18,3.25,46226
12/16/2024,1:15 PM,3.24,3.25,3.17,3.2482,39974
12/16/2024,1:30 PM,3.22,3.28,3.18,3.2714,83531
12/16/2024,1:45 PM,3.28,3.2999,3.23,3.2771,30549
12/16/2024,2:00 PM,3.28,3.28,3.22,3.22,17575
12/16/2024,2:15 PM,3.22,3.3,3.22,3.2905,45717
12/16/2024,2:30 PM,3.2858,3.33,3.25,3.28,84740
12/16/2024,2:45 PM,3.28,3.45,3.2601,3.45,84134
12/16/2024,3:00 PM,3.45,3.59,3.42,3.55,123019
12/16/2024,3:15 PM,3.5201,3.5694,3.28,3.35,98467
12/16/2024,3:30 PM,3.35,3.42,3.2,3.27,106526
12/16/2024,3:45 PM,3.27,3.31,3.2,3.24,143567
12/16/2024,4:00 PM,3.245,3.43,3.22,3.43,75606
12/17/2024,9:45 AM,3.77,3.8873,3.56,3.8487,194311
12/17/2024,10:00 AM,3.82,3.9,3.59,3.6,137666
12/17/2024,10:15 AM,3.65,3.83,3.601,3.7112,46022
12/17/2024,10:30 AM,3.7,3.85,3.485,3.6999,132923
12/17/2024,10:45 AM,3.69,3.69,3.55,3.55,34722
12/17/2024,11:00 AM,3.55,3.75,3.55,3.7,50981
12/17/2024,11:15 AM,3.7,3.7199,3.59,3.59,15693
12/17/2024,11:30 AM,3.61,3.62,3.52,3.59,37648
12/17/2024,11:45 AM,3.53,3.5994,3.48,3.58,32252
12/17/2024,12:00 PM,3.5922,3.6,3.45,3.5,60099
