Date,Time,Open,High,Low,Close,Volume
12/16/2024,9:45 AM,7.17,7.41,6.71,7.03,14347733
12/16/2024,10:00 AM,7.025,7.33,6.77,7.2601,8878625
12/16/2024,10:15 AM,7.2612,7.37,7.045,7.1,6974018
12/16/2024,10:30 AM,7.0976,7.6,7.06,7.495,10649792
12/16/2024,10:45 AM,7.4948,7.69,7.465,7.4815,7917661
12/16/2024,11:00 AM,7.488,7.75,7.41,7.6588,5585054
12/16/2024,11:15 AM,7.6588,8.48,7.45,8.4733,16732866
12/16/2024,11:30 AM,8.4701,8.55,8.235,8.41,11750197
12/16/2024,11:45 AM,8.41,8.655,8.36,8.5088,9925827
12/16/2024,12:00 PM,8.5088,8.82,8.43,8.8118,6819964
12/16/2024,12:15 PM,8.815,8.9,8.55,8.8999,6278363
12/16/2024,12:30 PM,8.895,9.14,8.6424,8.7612,9350218
12/16/2024,12:45 PM,8.7693,8.9,8.65,8.69,5069050
12/16/2024,1:00 PM,8.69,8.94,8.69,8.775,3630286
12/16/2024,1:15 PM,8.775,8.96,8.7,8.8,3885901
12/16/2024,1:30 PM,8.7988,9.15,8.7032,9.055,5133891
12/16/2024,1:45 PM,9.057,9.07,8.72,8.975,5019679
12/16/2024,2:00 PM,8.98,8.9898,8.66,8.6601,4398950
12/16/2024,2:15 PM,8.67,9.05,8.63,9.045,3595019
12/16/2024,2:30 PM,9.04,9.08,8.83,8.995,3768277
12/16/2024,2:45 PM,8.9988,9.54,8.93,9.4894,6715216
12/16/2024,3:00 PM,9.4869,9.8498,9.37,9.685,7059608
12/16/2024,3:15 PM,9.6988,9.75,8.94,8.97,9021867
12/16/2024,3:30 PM,8.9712,9.07,8.49,8.51,9837015
12/16/2024,3:45 PM,8.515,8.531,7.95,8.16,12727395
12/16/2024,4:00 PM,8.1699,8.595,8.1113,8.41,7505785
12/17/2024,9:45 AM,9.25,9.84,8.68,9.6024,25301833
12/17/2024,10:00 AM,9.62,9.8,9.03,9.1013,14417080
12/17/2024,10:15 AM,9.11,9.53,9.01,9.0324,9575832
12/17/2024,10:30 AM,9.0388,9.15,8.63,9.0627,10890599
12/17/2024,10:45 AM,9.07,9.2,8.88,9.0206,7030515
12/17/2024,11:00 AM,9.03,9.51,8.92,9.4305,7240583
12/17/2024,11:15 AM,9.435,9.49,9.06,9.1281,5311965
12/17/2024,11:30 AM,9.1288,9.14,8.81,8.8497,4812657
12/17/2024,11:45 AM,8.845,9.08,8.71,9.06,4294863
12/17/2024,12:00 PM,9.06,9.07,8.405,8.77,6230399
12/17/2024,12:15 PM,8.78,8.91,8.63,8.9054,2750563
12/17/2024,12:30 PM,8.9086,9.0679,8.87,8.9887,2975952
12/17/2024,12:45 PM,8.98,9,8.85,8.88,2143197
12/17/2024,1:00 PM,8.8897,9.27,8.82,9.27,3047680
12/17/2024,1:15 PM,9.27,9.27,9.085,9.21,2071996
12/17/2024,1:30 PM,9.21,9.2399,8.92,9.0888,1930247
12/17/2024,1:45 PM,9.09,9.49,9.075,9.415,4446672
12/17/2024,2:00 PM,9.4148,9.43,9.28,9.375,2344386
12/17/2024,2:15 PM,9.3785,9.89,9.3112,9.8138,7306303
12/17/2024,2:30 PM,9.815,10.49,9.795,10.42,11658827
12/17/2024,2:45 PM,10.41,10.48,10,10.305,6565984
12/17/2024,3:00 PM,10.3055,10.44,10.08,10.4133,4457525
12/17/2024,3:15 PM,10.41,10.68,9.9,10.28,8485120
12/17/2024,3:30 PM,10.26,10.57,10.17,10.375,4943428
12/17/2024,3:45 PM,10.3775,10.71,10.36,10.58,5636753
12/17/2024,4:00 PM,10.5701,11.2,10.48,11.15,12773856
12/18/2024,9:45 AM,11.13,12.19,10.47,11.8,26263476
12/18/2024,10:00 AM,11.79,12.75,11.68,12.22,24654959
12/18/2024,10:15 AM,12.22,12.3,11.32,11.38,14616588
12/18/2024,10:30 AM,11.38,11.66,10.73,10.88,15179880
12/18/2024,10:45 AM,10.89,11.01,10.2,10.6,15384389
12/18/2024,11:00 AM,10.6,10.88,10.05,10.69,11404010
12/18/2024,11:15 AM,10.7141,11.07,10.6,10.8646,8559463
12/18/2024,11:30 AM,10.86,11.53,10.57,11.39,9458518
12/18/2024,11:45 AM,11.3908,11.62,11.01,11.1101,7912809
12/18/2024,12:00 PM,11.12,11.19,10.75,10.7693,5418619
12/18/2024,12:15 PM,10.7697,10.87,10.51,10.5701,4627844
12/18/2024,12:30 PM,10.57,10.75,10.44,10.605,3896484
12/18/2024,12:45 PM,10.601,10.9,10.5988,10.64,3802802
12/18/2024,1:00 PM,10.65,11.8,10.55,11.0926,8091766
12/18/2024,1:15 PM,11.0776,11.29,10.86,11.235,4909097
12/18/2024,1:30 PM,11.23,11.6,11.16,11.33,5191500
12/18/2024,1:45 PM,11.33,11.8,11.28,11.43,5794891
12/18/2024,2:00 PM,11.4124,11.68,11.29,11.6161,3931674
12/18/2024,2:15 PM,11.6118,11.64,10.79,11.2247,8169230
12/18/2024,2:30 PM,11.24,11.65,10.87,10.93,7756084
12/18/2024,2:45 PM,10.9,11.4,10.89,10.92,4753930
12/18/2024,3:00 PM,10.925,10.95,10.3,10.55,7464041
12/18/2024,3:15 PM,10.53,10.74,10.18,10.4085,6062147
12/18/2024,3:30 PM,10.42,10.58,9.9101,10.0201,7943879
12/18/2024,3:45 PM,10.03,10.5,9.92,9.98,6684810
12/18/2024,4:00 PM,9.975,10.83,9.96,10.684,6853378
12/19/2024,9:45 AM,10.105,10.18,9.01,9.2312,18745687
12/19/2024,10:00 AM,9.23,9.35,8.44,8.49,14683194
12/19/2024,10:15 AM,8.49,8.87,7.94,8.8697,15806752
12/19/2024,10:30 AM,8.86,8.86,7.45,7.4782,14088717
12/19/2024,10:45 AM,7.4602,8.24,7.45,7.935,8843888
12/19/2024,11:00 AM,7.94,8.37,7.94,8.3312,5085221
12/19/2024,11:15 AM,8.3383,8.43,7.93,8.045,4614434
12/19/2024,11:30 AM,8.04,8.42,8.0199,8.31,3652839
12/19/2024,11:45 AM,8.3079,8.63,8.15,8.6269,4315711
12/19/2024,12:00 PM,8.625,8.63,8.32,8.4912,2689673
12/19/2024,12:15 PM,8.4912,8.58,8.21,8.21,2491809
12/19/2024,12:30 PM,8.215,8.22,7.94,8.005,2951115
12/19/2024,12:45 PM,8,8.07,7.88,7.9,2502913
12/19/2024,1:00 PM,7.8903,8.17,7.82,8.17,2203888
12/19/2024,1:15 PM,8.1664,8.1688,7.75,7.7688,2822344
12/19/2024,1:30 PM,7.7601,7.7688,7.378,7.615,4922614
12/19/2024,1:45 PM,7.615,7.87,7.41,7.675,3878002
12/19/2024,2:00 PM,7.671,7.671,7.16,7.485,4949160
12/19/2024,2:15 PM,7.48,7.72,7.4124,7.675,2859131
12/19/2024,2:30 PM,7.6788,7.75,7.55,7.605,2696019
12/19/2024,2:45 PM,7.6088,7.7714,7.425,7.505,2627919
12/19/2024,3:00 PM,7.51,7.51,7.17,7.2128,3591861
12/19/2024,3:15 PM,7.2101,7.3114,6.75,6.94,6133412
12/19/2024,3:30 PM,6.949,7.08,6.75,7.0202,5075178
12/19/2024,3:45 PM,7.02,7.28,6.9,7.2001,3757562
12/19/2024,4:00 PM,7.2082,7.6,7.15,7.465,4784685
12/20/2024,9:45 AM,7.26,7.82,6.93,7.611,15691895
12/20/2024,10:00 AM,7.6206,8.42,7.52,8.3489,14882110
12/20/2024,10:15 AM,8.35,8.79,8.26,8.7712,14673329
12/20/2024,10:30 AM,8.78,9.16,8.67,9.0201,14165189
12/20/2024,10:45 AM,9.025,9.2,8.77,8.9401,9098773
12/20/2024,11:00 AM,8.9414,9.42,8.77,9.3112,10301853
12/20/2024,11:15 AM,9.315,9.6,9.27,9.585,9835943
12/20/2024,11:30 AM,9.5898,9.6,9.25,9.3101,6765595
12/20/2024,11:45 AM,9.31,9.55,9.1,9.105,7470344
12/20/2024,12:00 PM,9.11,9.34,8.94,9.23,5754327
12/20/2024,12:15 PM,9.2201,9.42,9.0009,9.2592,4977348
12/20/2024,12:30 PM,9.25,9.31,9.07,9.261,3205035
12/20/2024,12:45 PM,9.2699,9.78,9.2,9.6582,5869402
12/20/2024,1:00 PM,9.6524,9.89,9.5601,9.8288,4925927
12/20/2024,1:15 PM,9.825,9.89,9.42,9.4349,5426869
12/20/2024,1:30 PM,9.4314,9.45,9.2,9.345,4765861
12/20/2024,1:45 PM,9.3497,9.55,9.32,9.5478,2694216
12/20/2024,2:00 PM,9.5475,9.79,9.5,9.7112,3557563
12/20/2024,2:15 PM,9.7188,9.99,9.65,9.875,4072776
12/20/2024,2:30 PM,9.8712,10.08,9.83,9.935,5374572
12/20/2024,2:45 PM,9.935,9.95,9.73,9.865,3178713
12/20/2024,3:00 PM,9.87,9.94,9.57,9.5774,2894001
12/20/2024,3:15 PM,9.5724,9.74,9.34,9.42,4461251
12/20/2024,3:30 PM,9.4215,9.54,9.26,9.4322,3396161
12/20/2024,3:45 PM,9.435,9.49,9.16,9.485,4166635
12/20/2024,4:00 PM,9.485,9.61,9.31,9.4123,4867509
12/23/2024,9:45 AM,12.14,12.28,10.75,11.33,32461384
12/23/2024,10:00 AM,11.33,11.78,11.13,11.655,14043127
12/23/2024,10:15 AM,11.66,11.72,10.44,11.2312,16854364
12/23/2024,10:30 AM,11.24,11.71,10.88,11.54,12177868
12/23/2024,10:45 AM,11.54,12.18,11.51,11.77,15647425
12/23/2024,11:00 AM,11.76,12.3,11.29,11.41,12508361
12/23/2024,11:15 AM,11.41,11.46,11.12,11.2475,6710120
12/23/2024,11:30 AM,11.242,11.5,11.03,11.405,5968031
12/23/2024,11:45 AM,11.4,11.42,11.08,11.32,4369658
12/23/2024,12:00 PM,11.33,11.38,10.82,11.03,4838602
12/23/2024,12:15 PM,11.03,11.06,10.71,10.8399,3895166
12/23/2024,12:30 PM,10.83,11.04,10.77,10.865,2781276
12/23/2024,12:45 PM,10.86,11.0389,10.77,10.975,2493755
12/23/2024,1:00 PM,10.9749,11.46,10.84,11.2,3753698
12/23/2024,1:15 PM,11.2061,11.45,11.1,11.1048,3163395
12/23/2024,1:30 PM,11.11,11.23,10.94,10.98,2909953
12/23/2024,1:45 PM,10.971,11.3,10.85,11.1916,3068596
12/23/2024,2:00 PM,11.1988,11.29,10.95,11.22,2949222
12/23/2024,2:15 PM,11.22,11.3,10.94,11.0321,3184982
12/23/2024,2:30 PM,11.04,11.2,11,11.17,2617544
12/23/2024,2:45 PM,11.1618,11.24,11.04,11.165,1988202
12/23/2024,3:00 PM,11.1684,11.17,10.62,10.7502,4691347
12/23/2024,3:15 PM,10.75,10.77,10.54,10.585,3839946
12/23/2024,3:30 PM,10.5812,10.866,10.55,10.7713,2770537
12/23/2024,3:45 PM,10.78,11.055,10.77,10.99,3679552
12/23/2024,4:00 PM,10.9888,11.1,10.89,10.94,4355928
12/24/2024,9:45 AM,11.05,11.3,10.76,11.02,8960189
12/24/2024,10:00 AM,11.03,11.0342,10.34,10.64,8030692
12/24/2024,10:15 AM,10.6518,11.57,10.6512,11.3,9099602
