Date,Time,Open,High,Low,Close,Volume
12/16/2024,9:45 AM,4.06,4.06,4.06,4.06,15
12/16/2024,11:30 AM,4.27,4.27,4.27,4.27,1
12/16/2024,12:00 PM,5.05,5.05,5.05,5.05,1
12/16/2024,12:30 PM,5.79,5.79,5.79,5.79,1
12/16/2024,12:45 PM,5.6,5.6,5.6,5.6,1
12/16/2024,2:00 PM,5.3,5.3,5.3,5.3,1
12/16/2024,3:00 PM,6.57,6.57,6.5,6.5,3
12/16/2024,3:45 PM,5.2,5.2,5.2,5.2,10
12/16/2024,4:00 PM,5.2,5.2,5.2,5.2,1
12/17/2024,9:45 AM,6.2,6.2,6.2,6.2,4
12/17/2024,10:00 AM,6.5,6.5,6.45,6.45,21
12/17/2024,11:30 AM,6.17,6.17,6.17,6.17,1
12/17/2024,1:30 PM,6,6,6,6,3
12/17/2024,2:30 PM,6.99,6.99,6.99,6.99,1
12/17/2024,2:45 PM,7,7,7,7,1
12/17/2024,3:00 PM,7.1,7.25,7.1,7.25,11
12/17/2024,3:15 PM,7.02,7.11,6.79,6.96,51
12/17/2024,3:30 PM,7,7.2,7,7.2,16
12/17/2024,3:45 PM,7.2,7.5,7.1,7.1,12
12/17/2024,4:00 PM,7.12,7.81,7.12,7.81,20
12/18/2024,9:45 AM,7.7,8.68,7.19,8.32,84
12/18/2024,10:00 AM,8.45,9.4,8.45,8.5,10
12/18/2024,10:15 AM,9,9,8.03,8.03,9
12/18/2024,10:30 AM,8,8.1,7.2,7.59,20
12/18/2024,10:45 AM,7.4,7.4,7,7.3,12
12/18/2024,11:00 AM,7.24,7.55,6.86,7.55,25
12/18/2024,11:15 AM,7.31,7.31,7.31,7.31,1
12/18/2024,11:30 AM,7.57,8,7.5,7.51,120
12/18/2024,11:45 AM,8.2,8.2,8.07,8.07,3
12/18/2024,12:15 PM,7.8,7.8,7.8,7.8,1
12/18/2024,12:30 PM,7.45,7.45,7.45,7.45,1
12/18/2024,12:45 PM,7.9,7.9,7.3,7.3,2
12/18/2024,1:15 PM,7.61,7.61,7.61,7.61,1
12/18/2024,1:30 PM,7.8,8.2,7.8,8.2,160
12/18/2024,1:45 PM,8.12,8.6,8,8.2,19
12/18/2024,2:00 PM,7.99,8.35,7.99,8.35,3
12/18/2024,2:15 PM,8.18,8.18,7.4,7.46,104
12/18/2024,2:30 PM,8.01,8.3,8.01,8.3,5
12/18/2024,2:45 PM,7.8,7.8,7.7,7.7,3
12/18/2024,3:00 PM,7.47,7.47,7.08,7.11,16
12/18/2024,3:15 PM,7.01,7.05,6.94,7.05,5
12/18/2024,3:30 PM,7,7.01,6.7,6.7,9
12/18/2024,3:45 PM,7.12,7.15,6.7,6.7,104
12/18/2024,4:00 PM,7.3,7.36,7.3,7.36,3
12/19/2024,9:45 AM,7,7.2,6,6.4,11
12/19/2024,10:00 AM,6.2,6.28,5.5,5.5,42
12/19/2024,10:15 AM,5.21,5.8,5.2,5.48,16
12/19/2024,10:30 AM,5.7,5.7,5,5,25
12/19/2024,10:45 AM,4.78,5,4.78,5,5
12/19/2024,11:30 AM,4.8,4.8,4.8,4.8,2
12/19/2024,1:00 PM,5.23,5.23,5.23,5.23,1
12/19/2024,1:15 PM,5,5.08,5,5.08,2
12/19/2024,1:30 PM,4.8,4.8,4.8,4.8,1
12/19/2024,1:45 PM,4.7,5.1,4.7,5.1,102
12/19/2024,2:45 PM,4.7,4.9,4.7,4.9,2
12/19/2024,3:15 PM,4.5,4.5,4.5,4.5,3
12/19/2024,4:00 PM,4.8,5.1,4.8,5.1,5
12/20/2024,9:45 AM,4.7,5.59,4.7,5.59,3
12/20/2024,10:00 AM,5.9,5.9,5.9,5.9,2
12/20/2024,10:15 AM,5.75,5.75,5.62,5.62,7
12/20/2024,10:30 AM,6.3,6.3,6.3,6.3,20
12/20/2024,10:45 AM,6,6.2,6,6.2,3
12/20/2024,11:00 AM,5.89,5.89,5.89,5.89,35
12/20/2024,11:15 AM,6.5,6.5,6.5,6.5,5
12/20/2024,11:30 AM,6.1,6.1,6.1,6.1,10
12/20/2024,12:00 PM,6.35,6.35,6.35,6.35,2
12/20/2024,12:30 PM,6.16,6.32,6.16,6.32,6
